,marka,fiyat,kamera çözünürlük,Dahili hafıza,Ram,ekran boyutu,pil gücü,mobil bağlantı hızı,model,ön kamera sayısı,on kamera cozunurluk araligi,arka kamera sayisi,ekran boyutu aralığı,işletim sistemi,çift hat,garanti süresi,şarj girişi,ana kamera çözünürlük,nfc,kulaklık girişi,batarya,renk
268,Xiaomi,11598,5,128,6,4,1500  altı,5,Redmi Note 11 Pro,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Beyaz
269,Casper,9499,20,256,8,6,4000 - 5000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,4500,Altın
270,Oppo,6267,10,128,4,6,4000 - 5000,4.5,,1,15,3,6,Android,Yok,2,USB Type-C,15,Yok,3.5 mm,5000,Mavi
271,POCO,14999,5,256,8,6,4000 - 5000,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,4500,Mavi
272,Apple,67998,48,256,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Siyah
273,Samsung,49869,10,512,8,6,4000 - 5000,5,Galaxy S23 Ultra,1,10,5,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,3500,Mor
274,Apple,26500,10,64,3,6,2400 - 3000,4.5,iPhone XR,1,5,1,5,iOS,Yok,2,Lightning,5,Var,Lightning,2000,Beyaz
275,Reeder,2629,10,128,4,6,1800 - 2800,4,,1,5,3,6,Android,Yok,2,Micro-USB,5,Yok,3.5 mm,3500,Mavi
276,realme,9885,20,256,8,6,5000,4,,1,15,1,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Beyaz
277,General Mobile,,10,64,4,6,3000 - 4000,4.5,,1,5,3,6,Android,Yok,2,USB Type-C,5,Yok,3.5 mm,3500,Kırmızı
278,Xiaomi,23990,5,256,8,6,1500  altı,4.5,Xiaomi 11T Pro,1,10,4,6,Android,Yok,2,USB Type-C,10,Yok,3.5 mm,5000,Gri
279,Apple,34900,10,64,4,6,2815,4.5,iPhone 12,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Mor
280,POCO,18735,20,256,12,6,5000,5,POCO F5,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Beyaz
281,Apple,40711,12,256,4,6,3095,5,iPhone 13,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Beyaz
282,Apple,75999,48,512,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Mor
283,Apple,32999,10,64,4,6,2815,4.5,iPhone 12,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,2000,Beyaz
284,Alcatel,1307,5,16,1,4,1500  altı,4.5,,1,5,1,5,Android,Var,2,Micro-USB,5,Yok,3.5 mm,1000,Mavi
285,Samsung,37370,10,128,8,6,4000 - 5000,4.5,Galaxy S22 Ultra,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Beyaz
286,Samsung,46619,10,256,8,6,4000 - 5000,5,Galaxy S23 Ultra,1,10,5,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,3500,Siyah
287,oukitel,3655,5,64,4,4,1500  altı,4,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4000,Yeşil
288,Xiaomi,,20,128,4,6,5000,4.5,Redmi Note 9,1,10,4,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,5000,Gri
